"COLUMN_ID","SCHEMA","TABLE","COLUMN","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE"
1,"AIRFLOW","AF_SALES_REPORT_CORE_PARTNER_1C","REPORT_DATE","DATE",7,,,"Y"
2,"AIRFLOW","AF_SALES_REPORT_CORE_PARTNER_1C","SALES","VARCHAR2",16000,,,"Y"
3,"AIRFLOW","AF_SALES_REPORT_CORE_PARTNER_1C","KPP","VARCHAR2",800,,,"Y"
4,"AIRFLOW","AF_SALES_REPORT_CORE_PARTNER_1C","CONTRACTOR_NAME","VARCHAR2",800,,,"Y"
5,"AIRFLOW","AF_SALES_REPORT_CORE_PARTNER_1C","CONTRACTORUUID","VARCHAR2",800,,,"Y"
6,"AIRFLOW","AF_SALES_REPORT_CORE_PARTNER_1C","INN","VARCHAR2",800,,,"Y"
1,"AIRFLOW","COPY_BILLING_PAYMENTS","TENANT_ID","VARCHAR2",800,,,"Y"
2,"AIRFLOW","COPY_BILLING_PAYMENTS","SUBSYSTEM_ID","VARCHAR2",800,,,"Y"
3,"AIRFLOW","COPY_BILLING_PAYMENTS","PAYMENT_ID","VARCHAR2",800,,,"Y"
4,"AIRFLOW","COPY_BILLING_PAYMENTS","USER_ID","VARCHAR2",800,,,"Y"
5,"AIRFLOW","COPY_BILLING_PAYMENTS","GATEWAY_ID","VARCHAR2",800,,,"Y"
6,"AIRFLOW","COPY_BILLING_PAYMENTS","GATEWAY_PROPERTIES","VARCHAR2",8000,,,"Y"
7,"AIRFLOW","COPY_BILLING_PAYMENTS","AMOUNT","NUMBER",22,20,4,"Y"
8,"AIRFLOW","COPY_BILLING_PAYMENTS","TRANSACTION_TYPE","VARCHAR2",800,,,"Y"
9,"AIRFLOW","COPY_BILLING_PAYMENTS","PAYMENT_STATUS","VARCHAR2",800,,,"Y"
10,"AIRFLOW","COPY_BILLING_PAYMENTS","PAYMENT_TIMESTAMP","DATE",7,,,"Y"
11,"AIRFLOW","COPY_BILLING_PAYMENTS","VERSION","NUMBER",22,,0,"Y"
12,"AIRFLOW","COPY_BILLING_PAYMENTS","REFUNDED_AMOUNT","NUMBER",22,,,"Y"
13,"AIRFLOW","COPY_BILLING_PAYMENTS","LAST_MODIFIED_AT","DATE",7,,,"Y"
14,"AIRFLOW","COPY_BILLING_PAYMENTS","FAILURE_REASON","VARCHAR2",4000,,,"Y"
15,"AIRFLOW","COPY_BILLING_PAYMENTS","PROCESSED_TRANSACTIONS","CLOB",4000,,,"Y"
16,"AIRFLOW","COPY_BILLING_PAYMENTS","VAT_RATE","NUMBER",22,,,"Y"
17,"AIRFLOW","COPY_BILLING_PAYMENTS","VAT_SUM","NUMBER",22,,,"Y"
1,"AIRFLOW","COPY_MP_RECURRING_REVENUE","D_DATE","DATE",7,,,"Y"
2,"AIRFLOW","COPY_MP_RECURRING_REVENUE","SUBSCRIPTION_ID","VARCHAR2",200,,,"Y"
3,"AIRFLOW","COPY_MP_RECURRING_REVENUE","USER_ID","VARCHAR2",200,,,"Y"
4,"AIRFLOW","COPY_MP_RECURRING_REVENUE","PRODUCT_ID","VARCHAR2",200,,,"Y"
5,"AIRFLOW","COPY_MP_RECURRING_REVENUE","PAYM_TYPE","VARCHAR2",200,,,"Y"
6,"AIRFLOW","COPY_MP_RECURRING_REVENUE","AMOUNT","NUMBER",22,,,"Y"
7,"AIRFLOW","COPY_MP_RECURRING_REVENUE","PAYMENT_ID","VARCHAR2",200,,,"Y"
8,"AIRFLOW","COPY_MP_RECURRING_REVENUE","PAYMENT_TIMESTAMP","DATE",7,,,"Y"
1,"AIRFLOW","COPY_MP_REVENUE","PRODUCT_ID","VARCHAR2",200,,,"Y"
2,"AIRFLOW","COPY_MP_REVENUE","NAME","VARCHAR2",200,,,"Y"
3,"AIRFLOW","COPY_MP_REVENUE","CATEGORY_ID","VARCHAR2",200,,,"Y"
4,"AIRFLOW","COPY_MP_REVENUE","CATEGORY_NAME","VARCHAR2",200,,,"Y"
5,"AIRFLOW","COPY_MP_REVENUE","PUBLISHER_ID","VARCHAR2",200,,,"Y"
6,"AIRFLOW","COPY_MP_REVENUE","PUBLISHER_NAME","VARCHAR2",200,,,"Y"
7,"AIRFLOW","COPY_MP_REVENUE","PUBLISHER_INN","VARCHAR2",200,,,"Y"
8,"AIRFLOW","COPY_MP_REVENUE","PUBLISHER_KPP","VARCHAR2",200,,,"Y"
9,"AIRFLOW","COPY_MP_REVENUE","USER_ID","VARCHAR2",200,,,"Y"
10,"AIRFLOW","COPY_MP_REVENUE","NN_BY_APP","NUMBER",22,,,"Y"
11,"AIRFLOW","COPY_MP_REVENUE","NN_BY_USER","NUMBER",22,,,"Y"
12,"AIRFLOW","COPY_MP_REVENUE","D_DATE","DATE",7,,,"Y"
13,"AIRFLOW","COPY_MP_REVENUE","YYYY_MM","VARCHAR2",200,,,"Y"
14,"AIRFLOW","COPY_MP_REVENUE","YYYY_Q","VARCHAR2",200,,,"Y"
15,"AIRFLOW","COPY_MP_REVENUE","WEEKDAY","VARCHAR2",200,,,"Y"
